2014-07-14 14:34:45,260 [Worker-9] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: SRWeb:SRWeb:0.0.1-SNAPSHOT @ /workspaces/me/sr/SRWeb/pom.xml.
2014-07-14 14:34:46,170 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (US-ASCII actually) to copy filtered resources, i.e. build is platform dependent!
2014-07-14 14:34:46,172 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /workspaces/me/sr/SRWeb/src/test/resources
2014-07-14 14:34:46,191 [Worker-9] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /SRWeb/src
2014-07-14 14:34:46,192 [Worker-9] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /SRWeb/src/test/java because it overlaps with /SRWeb/src
2014-07-14 14:34:46,471 [Worker-9] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2014-07-14 14:34:46,497 [Worker-9] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: SRWeb:SRWeb:0.0.1-SNAPSHOT @ /workspaces/me/sr/SRWeb/pom.xml.
2014-07-14 14:34:46,614 [Worker-9] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /SRWeb/src
2014-07-14 14:34:46,614 [Worker-9] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /SRWeb/src/test/java because it overlaps with /SRWeb/src
2014-07-14 14:34:47,243 [Worker-9] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Cleaning filtered folder for SRWeb
2014-07-14 14:34:47,272 [Worker-9] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 0 sec
2014-07-14 14:34:47,414 [Worker-9] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: SRWeb:SRWeb:0.0.1-SNAPSHOT @ /workspaces/me/sr/SRWeb/pom.xml.
2014-07-14 14:34:47,472 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (US-ASCII actually) to copy filtered resources, i.e. build is platform dependent!
2014-07-14 14:34:47,473 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /workspaces/me/sr/SRWeb/src/main/resources
2014-07-14 14:34:47,474 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (US-ASCII actually) to copy filtered resources, i.e. build is platform dependent!
